"통계분류(1)",통계분류(2),2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
"통계분류(1)",통계분류(2),전체,강원,충북,충남,전북,전남,경북,경남,제주,서울,부산,대구,인천,광주,대전,울산,경기,전체,강원,충북,충남,전북,전남,경북,경남,제주,서울,부산,대구,인천,광주,대전,울산,경기,전체,강원,충북,충남,전북,전남,경북,경남,제주,서울,부산,대구,인천,광주,대전,울산,경기,전체,강원,충북,충남,전북,전남,경북,경남,제주,세종,서울,부산,대구,인천,광주,대전,울산,경기
"카지노업",소계,17,2,0,0,0,0,1,0,8,3,2,0,1,0,0,0,0,17,2,0,0,0,0,0,0,8,3,2,1,1,0,0,0,0,16,1,0,0,0,0,0,0,8,3,2,1,1,0,0,0,0,17,2,0,0,0,0,0,0,8,0,3,2,1,1,0,0,0,0
"유원시설업",종합유원시설업,38,6,1,4,1,2,4,5,0,1,2,0,3,1,1,0,7,45,6,2,5,1,3,3,5,0,2,2,2,0,1,2,0,11,42,7,0,5,1,4,3,5,0,1,1,2,2,1,2,0,8,38,7,1,5,0,3,4,2,0,0,2,1,2,0,1,1,0,9
"유원시설업",일반유원시설업,147,19,7,11,11,15,6,9,10,5,12,6,7,2,0,4,23,161,24,7,11,10,14,9,10,13,4,12,7,7,3,0,4,26,178,22,9,13,12,17,10,11,10,4,13,9,6,3,0,6,33,236,27,9,18,15,22,15,16,14,0,10,13,12,11,3,1,6,44
"유원시설업",기타유원시설업,92,7,10,3,4,7,7,1,2,0,10,0,0,0,3,2,36,97,7,9,3,4,8,5,7,3,5,3,3,6,0,4,3,27,148,7,7,9,0,13,5,42,0,0,0,5,11,0,9,1,39,115,8,8,0,4,8,5,10,5,0,12,16,4,2,0,3,2,28
"관광편의시설업",관광유흥음식점업,242,9,7,10,25,2,8,9,7,37,27,9,13,9,13,8,49,272,13,7,11,14,8,7,17,8,38,30,10,17,8,13,7,64,68,0,4,9,6,7,3,8,5,8,0,1,0,0,1,0,17,108,6,4,13,5,2,3,2,3,0,18,17,4,4,3,6,6,12
"관광편의시설업",관광극장유흥업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,184,0,4,2,0,0,5,40,0,48,0,10,4,13,7,1,50,155,6,2,1,8,5,4,10,4,0,21,8,8,14,6,5,3,50
"관광편의시설업",외국인전용유흥음식점업,297,0,0,0,13,4,13,3,0,7,27,21,4,4,0,8,193,348,2,0,0,15,3,15,29,6,7,14,31,4,4,1,12,205,360,0,0,0,21,2,16,34,6,2,14,31,3,3,0,18,210,369,1,1,0,23,1,22,37,8,0,2,18,36,4,3,3,17,193
"관광편의시설업",시내순환관광업,21,3,0,0,1,2,1,3,0,0,0,1,5,0,2,3,0,27,4,0,1,1,2,1,7,0,1,1,2,2,0,1,2,2,24,4,0,1,1,2,2,6,0,0,1,2,0,0,1,2,2,30,6,0,1,1,2,3,6,0,0,1,1,3,2,0,1,2,1
"관광편의시설업",관광사진업,7,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,12,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,15,1,0,0,0,0,0,0
"관광편의시설업",관광궤도업,5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,11,4,0,0,1,3,0,0,0,0,1,1,0,0,0,0,1,11,5,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,14,7,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,1
"관광편의시설업",관광펜션업,134,44,8,21,8,4,16,19,0,0,0,0,3,0,0,0,11,225,56,12,36,15,6,34,43,0,0,1,0,5,0,0,0,17,270,63,13,50,20,12,39,48,0,0,2,0,0,0,0,0,23,333,72,10,65,24,21,49,55,0,0,0,2,0,6,0,0,0,29
"관광편의시설업",관광식당업,1784,43,24,56,5,0,25,62,37,797,139,51,93,36,68,39,309,1899,36,27,33,31,6,24,86,42,769,165,53,92,40,97,53,345,2030,41,26,49,35,14,24,104,56,753,179,52,106,39,89,66,397,2194,44,28,58,51,14,25,117,73,0,822,182,58,101,48,94,64,415
"관광편의시설업",한옥체험업,17,0,1,1,8,0,3,0,0,0,0,0,0,0,0,0,4,320,14,3,10,22,106,112,17,0,27,0,2,1,0,0,0,6,437,18,7,13,36,127,140,33,0,47,0,4,0,0,0,1,11,602,12,11,17,60,195,180,40,0,0,63,0,5,3,1,0,1,14
"관광편의시설업",여객자동차터미널시설업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,16,1,0,3,0,3,9,0,0,0,0,0,0,0,0,0,0,20,1,0,4,0,7,7,0,0,0,0,0,0,0,0,0,0,1
"관광편의시설업",외국인 관광도시 민박업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,328,0,0,0,7,1,6,1,0,0,185,37,12,16,1,4,2,56
